Station,Species,DateTimeOriginal,Date,Time,delta.time.secs,delta.time.mins,delta.time.hours,delta.time.days,Directory,FileName,EXIF.Model,EXIF.Make,metadata_Species,metadata_Behaviour,metadata_Number,n_images,metadata_Sex,metadata_young_present,HierarchicalSubject
A12,baboon,2019-03-19 2:12,2019-03-19,2:12:17,161,2.7,0,0,E:/GOE/GOE_Roll1/A12,I_00014a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-03-19 2:14,2019-03-19,2:14:07,110,1.8,0,0,E:/GOE/GOE_Roll1/A12,I_00015a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-03-19 2:21,2019-03-19,2:21:42,455,7.6,0.1,0,E:/GOE/GOE_Roll1/A12,I_00016a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-03-21 2:10,2019-03-21,2:10:14,172112,2868.5,47.8,2,E:/GOE/GOE_Roll1/A12,I_00017a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-03-21 2:33,2019-03-21,2:33:55,1421,23.7,0.4,0,E:/GOE/GOE_Roll1/A12,I_00018a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-03-21 2:36,2019-03-21,2:36:45,170,2.8,0,0,E:/GOE/GOE_Roll1/A12,I_00019a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-03-21 2:44,2019-03-21,2:44:38,473,7.9,0.1,0,E:/GOE/GOE_Roll1/A12,I_00020a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-03-25 0:33,2019-03-25,0:33:26,337728,5628.8,93.8,3.9,E:/GOE/GOE_Roll1/A12,I_00022a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-03-25 0:45,2019-03-25,0:45:30,724,12.1,0.2,0,E:/GOE/GOE_Roll1/A12,I_00023a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-03-25 1:05,2019-03-25,1:05:46,1216,20.3,0.3,0,E:/GOE/GOE_Roll1/A12,I_00024a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-03-25 1:28,2019-03-25,1:28:52,1386,23.1,0.4,0,E:/GOE/GOE_Roll1/A12,I_00025a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-03-28 3:08,2019-03-28,3:08:43,265191,4419.9,73.7,3.1,E:/GOE/GOE_Roll1/A12,I_00026a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-04-17 2:08,2019-04-17,2:08:21,1724378,28739.6,479,20,E:/GOE/GOE_Roll1/A12,I_00031a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-04-17 2:18,2019-04-17,2:18:17,596,9.9,0.2,0,E:/GOE/GOE_Roll1/A12,I_00032a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-04-27 2:02,2019-04-27,2:02:49,863072,14384.5,239.7,10,E:/GOE/GOE_Roll1/A12,I_00037a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A12,baboon,2019-04-27 2:07,2019-04-27,2:07:30,281,4.7,0.1,0,E:/GOE/GOE_Roll1/A12,I_00038a.JPG,E3,CUDDEBACK,baboon,Moving,2,1,NA,Yes,"young_present|Yes, Behaviour|Moving, Behaviour, Number, young_present, Number|2, Species|baboon, Species"
A12,duikercommon,2019-04-06 13:51,2019-04-06,13:51:26,0,0,0,0,E:/GOE/GOE_Roll1/A12,I_00030a.JPG,E3,CUDDEBACK,duikercommon,Moving,1,1,NA,NA,"Species|duikercommon, Behaviour|Moving, Behaviour, Number|1, Number, Species"
A12,gemsbokoryx,2019-03-07 20:19,2019-03-07,20:19:15,0,0,0,0,E:/GOE/GOE_Roll1/A12,I_00003a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A12,gemsbokoryx,2019-03-07 20:23,2019-03-07,20:23:41,266,4.4,0.1,0,E:/GOE/GOE_Roll1/A12,I_00004a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A12,gemsbokoryx,2019-03-09 8:29,2019-03-09,8:29:00,129919,2165.3,36.1,1.5,E:/GOE/GOE_Roll1/A12,I_00005b.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A12,gemsbokoryx,2019-03-10 11:08,2019-03-10,11:08:54,95994,1599.9,26.7,1.1,E:/GOE/GOE_Roll1/A12,I_00006a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A12,gemsbokoryx,2019-03-10 22:19,2019-03-10,22:19:19,40225,670.4,11.2,0.5,E:/GOE/GOE_Roll1/A12,I_00007a.JPG,E3,CUDDEBACK,gemsbokoryx,Eating,1,1,NA,NA,"Behaviour, Number|1, Number, Species|gemsbokoryx, Species, Behaviour|Eating"
A12,gemsbokoryx,2019-03-13 15:02,2019-03-13,15:02:36,232997,3883.3,64.7,2.7,E:/GOE/GOE_Roll1/A12,I_00008b.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A12,gemsbokoryx,2019-03-13 15:04,2019-03-13,15:04:46,130,2.2,0,0,E:/GOE/GOE_Roll1/A12,I_00009b.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A12,gemsbokoryx,2019-04-01 10:58,2019-04-01,10:58:11,1626805,27113.4,451.9,18.8,E:/GOE/GOE_Roll1/A12,I_00027a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A12,gemsbokoryx,2019-04-06 12:20,2019-04-06,12:20:37,436946,7282.4,121.4,5.1,E:/GOE/GOE_Roll1/A12,I_00029a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A12,gemsbokoryx,2019-04-19 6:48,2019-04-19,6:48:51,1103294,18388.2,306.5,12.8,E:/GOE/GOE_Roll1/A12,I_00033a.JPG,E3,CUDDEBACK,gemsbokoryx,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|gemsbokoryx, Species"
A12,human,2019-03-05 20:07,2019-03-05,20:07:59,0,0,0,0,E:/GOE/GOE_Roll1/A12,I_00001a.JPG,E3,CUDDEBACK,human,NA,NA,1,NA,NA,"Species|human, Species"
A12,human,2019-03-05 20:09,2019-03-05,20:09:01,62,1,0,0,E:/GOE/GOE_Roll1/A12,I_00002a.JPG,E3,CUDDEBACK,human,NA,NA,1,NA,NA,"Species|human, Species"
A12,springbok,2019-04-19 19:52,2019-04-19,19:52:55,0,0,0,0,E:/GOE/GOE_Roll1/A12,I_00034a.JPG,E3,CUDDEBACK,springbok,Moving_&_Eating,7,1,NA,NA,"Species|springbok, Behaviour|Moving, Behaviour, Number|7, Number, Species, Behaviour|Eating"
A12,springbok,2019-04-19 19:57,2019-04-19,19:57:57,302,5,0.1,0,E:/GOE/GOE_Roll1/A12,I_00035a.JPG,E3,CUDDEBACK,springbok,Eating,3,1,NA,NA,"Species|springbok, Number|3, Behaviour, Number, Species, Behaviour|Eating"
A12,springbok,2019-04-30 12:03,2019-04-30,12:03:48,921951,15365.9,256.1,10.7,E:/GOE/GOE_Roll1/A12,I_00042a.JPG,E3,CUDDEBACK,springbok,Eating,1,1,NA,NA,"Species|springbok, Behaviour, Number|1, Number, Species, Behaviour|Eating"
A12,springbok,2019-04-30 12:04,2019-04-30,12:04:48,60,1,0,0,E:/GOE/GOE_Roll1/A12,I_00043a.JPG,E3,CUDDEBACK,springbok,Moving_&_Eating,2,1,NA,NA,"Species|springbok, Behaviour|Moving, Behaviour, Number, Number|2, Species, Behaviour|Eating"
A12,springbok,2019-04-30 12:06,2019-04-30,12:06:52,124,2.1,0,0,E:/GOE/GOE_Roll1/A12,I_00044a.JPG,E3,CUDDEBACK,springbok,Moving,1,1,NA,NA,"Species|springbok, Behaviour|Moving, Behaviour, Number|1, Number, Species"
A12,unknown,2019-03-18 12:43,2019-03-18,12:43:41,0,0,0,0,E:/GOE/GOE_Roll1/A12,I_00010a.JPG,E3,CUDDEBACK,unknown,NA,NA,1,NA,NA,"Species|unknown, Species"
A12,unknown,2019-03-18 13:00,2019-03-18,13:00:41,1020,17,0.3,0,E:/GOE/GOE_Roll1/A12,I_00011b.JPG,E3,CUDDEBACK,unknown,NA,NA,1,NA,NA,"Species|unknown, Species"
A12,unknown,2019-03-23 8:24,2019-03-23,8:24:19,415418,6923.6,115.4,4.8,E:/GOE/GOE_Roll1/A12,I_00021a.JPG,E3,CUDDEBACK,unknown,NA,NA,1,NA,NA,"Species|unknown, Species"
A12,unknown,2019-04-29 12:48,2019-04-29,12:48:10,3212631,53543.8,892.4,37.2,E:/GOE/GOE_Roll1/A12,I_00039a.JPG,E3,CUDDEBACK,unknown,NA,NA,1,NA,NA,"Species|unknown, Species"
A12,zebramountain,2019-04-04 11:37,2019-04-04,11:37:29,0,0,0,0,E:/GOE/GOE_Roll1/A12,I_00028a.JPG,E3,CUDDEBACK,zebramountain,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Species|zebramountain, Number, Species"
A13,aardwolf,2019-03-06 9:30,2019-03-06,9:30:48,0,0,0,0,E:/GOE/GOE_Roll1/A13,I_00003a.JPG,E3,CUDDEBACK,aardwolf,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Species|aardwolf, Number, Species"
A13,aardwolf,2019-03-13 21:53,2019-03-13,21:53:48,649380,10823,180.4,7.5,E:/GOE/GOE_Roll1/A13,I_00007a.JPG,E3,CUDDEBACK,aardwolf,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Species|aardwolf, Number, Species"
A13,baboon,2019-03-09 10:43,2019-03-09,10:43:17,0,0,0,0,E:/GOE/GOE_Roll1/A13,I_00005a.JPG,E3,CUDDEBACK,baboon,Moving,1,1,NA,NA,"Behaviour|Moving, Behaviour, Number|1, Number, Species|baboon, Species"
A13,human,2019-03-05 20:30,2019-03-05,20:30:20,0,0,0,0,E:/GOE/GOE_Roll1/A13,I_00001a.JPG,E3,CUDDEBACK,human,NA,NA,1,NA,NA,"Species|human, Species"
A13,springbok,2019-03-14 23:04,2019-03-14,23:04:24,0,0,0,0,E:/GOE/GOE_Roll1/A13,I_00008a.JPG,E3,CUDDEBACK,springbok,Moving,1,1,NA,NA,"Species|springbok, Behaviour|Moving, Behaviour, Number|1, Number, Species"
A13,springbok,2019-03-20 14:52,2019-03-20,14:52:32,488888,8148.1,135.8,5.7,E:/GOE/GOE_Roll1/A13,I_00012a.JPG,E3,CUDDEBACK,springbok,Moving,1,1,NA,NA,"Species|springbok, Behaviour|Moving, Behaviour, Number|1, Number, Species"
